key	vpdIdx	angChord	angKink	dAng	label	cols	kinkDeg	gain	splitIdx	kFrac	lenA	lenB	chordLenM	frontLenM	r3	bestIdx	ruleOk	dyChord	dyKink	cleanRatio	depthM	mpp	areaPx	tilt
1:1	0	50.121285687524924	13.928183621966864	-36.19310206555806	개선	66	54.595308915231534	3.101462783821947	19	0.2878787878787879	3.6129243927375305	1.5864182734823686	2.974022498464051	1.5864182734823686	1	1	true	-68.61026454080763	-49.466104740391415	1	25.412384156693683	0.01143854807101558	54085.5	8.7
1:1	1	57.09099859927351	0.4615819290870839	-56.62941667018643	개선	73	28.321340642288245	4.617585156549196	18	0.2465753424657534	1.9992542687306587	2.0222066940844114	3.6297120955182405	2.0222066940844114	1	1	true	-47.46781714694305	-20.694207916940854	0.9178082191780822	26.12134782140719	0.012603166998327224	46012.5	8.7
1:1	2	5.008592546841585	37.38676403475789	32.378171487916305	악화	90	45.567429527024906	5.174669867198983	42	0.4666666666666667	11.66294969906626	1.7948763811621524	7.436981034531871	1.7948763811621524	1	0	false	-69.95844178892378	-11.237671430934597	0.7777777777777778	27.544627626529675	0.02089039616441537	45247.5	8.7
1:1	3	66.6498103293318	5.191295854090351	-61.45851447524145	개선	81	63.88319603328789	5.603898017405102	19	0.2345679012345679	6.5051124240868266	2.346192247177804	4.480668476937883	2.346192247177804	1	1	true	-46.904792846538726	-15.22379894071446	0.8765432098765432	26.485653652410743	0.014002088990430882	49311	8.7
1:1	4	9.313506419048432	13.674142154144562	4.36063573509613	악화	75	80.35468150134486	2.981885117512399	8	0.10666666666666667	3.1952030057076413	2.2458110534569857	2.433889421024871	2.2458110534569857	1	1	true	-11.018082793134681	-14.110833766115547	1	24.744558926363265	0.008222599395354295	52434	8.7
1:1	5	7.712698833270825	9.780638752076893	2.0679399188060676	악화	138	27.380001947432564	2.343155971851114	70	0.5072463768115942	2.600451192197001	1.7242049089716966	3.4486927651162884	1.7242049089716966	1	1	true	-153.014357276091	-149.649566282347	1	16.2262307355701	0.006293234972839942	117454.5	8.7
1:1	6	1.543788953141434	24.51951615696679	22.975727203825357	악화	84	61.71071339703711	6.285874402764974	39	0.4642857142857143	12.889956338228481	3.005722059149653	7.901097038562919	3.005722059149653	1	0	false	-80.98402941235463	-16.252503517205128	0.5952380952380952	28.31841807620175	0.023798485055912408	45846	8.7
1:1	7	3.7525830079452276	3.7525830079452276	0	폴백	87	0.15129084419923877	1.141079056091516	36	0.41379310344827586	1.7752819537756592	2.7019139614147885	3.8669543086204823	3.8669543086204823	0	0	true	-16.733575145963414	-16.733575145963414	0.896551724137931	29.398749899223702	0.011241146245989774	50805	8.7
1:2	0	57.51828134373368	57.51828134373368	0	폴백	197	3.194319970774129	1.900947654310867	94	0.47715736040609136	1.8809478157220887	1.9778674093723791	4.014331357313461	4.014331357313461	0	1	false	-172.44401793009183	-172.44401793009183	0.649746192893401	11.82692989205124	0.00512032060881819	210519	20.1
1:2	1	10.95435098530129	14.051101968799253	3.096750983497964	악화	72	60.314666214768884	4.42555146316197	13	0.18055555555555555	1.8138104561051287	1.5039638191053488	2.1500279182504136	1.5039638191053488	1	1	true	-125.5062516929695	-150.4403025629723	0.125	17.77712464453683	0.007570520838909907	42610.5	20.1
